,label,title,description,generated_description
109226,2,Strong to Coach Gators in the Peach Bowl (AP),"AP - Florida defensive coordinator Charlie Strong will coach the Gators in the Peach Bowl, taking a spot left vacant because Ron Zook is leaving for Illinois and Urban Meyer wants to coach Utah through its postseason game.","AP - The Georgia Gators were able to win the Peach Bowl on Saturday night, but they were unable to win the game."
75182,4,News.com Extra: Experts warn of Net flu vaccine scam,Also: Nintendo threatens Suicidegirls over IP use.,NEW YORK (Reuters) - Experts have warned of a scam that could be used to sell flu vaccines over the Internet.
29905,4,Microsoft Keeps Legal Options Against Office Alternative,Microsoft #39;s settlement with Sun Microsystems includes a provision explicitly preserving Microsoft #39;s right to sue licensees of a free alternative to its dominant Microsoft Office software.,"Microsoft Corp. is keeping its legal options against its alternative to Microsoft Corp. #39;s Office 365 software, saying it will continue to pursue the company #39;s lawsuits against the software maker."
27709,4,SHOPTLAK: A Phrase That Heals All Wounds (AdWeek.com),"AdWeek.com - No one in advertising can doubt the power of juvenile humor. Now, Marvin Waldman wants to put it to good use. The former executive creative director at Young   Rubicam in New York, who left in 1999 to focus on social-marketing projects, has come up with a bumper sticker and Web site introducing a phrase he says can bring Democrats and Republicans together: ""Cheney is a Dick.""","AdWeek.com - A new phrase that has been used to describe a person's condition is a phrase that can be used to describe a person's condition. It's a phrase that can be used to describe a person's condition, and it's also a phrase that can be used to describe a person's condition."
94406,1,Nigeria lifts Plateau emergency,Nigeria lifts the six-month state of emergency in the central highland state of Plateau.,"Nigeria has lifted its emergency declaration for the Plateau region, a day after the country #39;s government said it had lifted a quot;no-confidence quot; on the issue."
94779,4,UC rejects  #39;multiracial #39; category,University of California regents yesterday resoundingly rejected a proposal that sought to add a  quot;multiracial quot; category to UC #39;s admissions application.,"The University of California has rejected the quot;multiracial quot; category, citing a lack of diversity in the university #39;s student body."
36031,3,"Stocks Fall on Oil, Fannie Mae Probe"," NEW YORK (Reuters) - Stocks fell on Wednesday after oil  prices jumped more than a dollar to over \$48 a barrel and a  U.S. government review questioned home finance company Fannie  Mae's &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=FNM.N target=/stocks/quickinfo/fullquote""&gt;FNM.N&lt;/A&gt; accounting methods.","NEW YORK (Reuters) - U.S. stocks fell on Friday after the Federal Reserve slapped an investigation into the company's oil prices and a probe by Fannie Mae &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=FNM.N target=/stocks/quickinfo/fullquote""&gt;FNM.N&lt;/A&gt; slapped $1 billion a year ago for $1 billion a year-old mortgage-backed mortgage-backed mortgage-backed mortgage-backed mortgage-backed mortgage-backed mortgage-backed mortgage-backed mortgage."
58617,4,IBM Simplifies Partner Program,"IBM on Tuesday said it has simplified the process for software vendors to qualify and participate as a partner, which gives them access to IBM #39;s global-sales network and to financial support for co-marketing campaigns.","IBM has simplified its partnership program with its partners, a move that could help the software giant cut costs and improve its competitive advantage."
67877,1,Britain Agrees to Move Troops Closer to Baghdad (Reuters),"Reuters - Britain agreed on Thursday to send\troops to dangerous areas near Baghdad, a politically perilous\step for Prime Minister Tony Blair who could face a sharp\backlash if casualty rates start rising.","Reuters - Britain agreed to move its troops closer to Baghdad on Monday, a day after the Iraqi government said it would withdraw its troops from Iraq."
36697,2,IOC Considering Possible Addition of Five Sports to 2012 Olympics,"The International Olympic Committee has notified the governing bodies of golf, rugby, squash, karate and roller sports that they will be  quot;studied further quot; as part of a review of the games #39; competition schedule.","The International Olympic Committee (IOC) is considering adding five sports to the 2012 Olympics, a move that would allow athletes to compete at the Games."
67702,1,Libya Welcomes 7 Italians It Had Expelled (AP),"AP - Seven Italians are preparing to return to Libya next month, invited by Libyan leader Moammar Gadhafi 34 years after they were expelled along with thousands of others from the former North African colony.","AP - Libya welcomed seven Italians it had expelled from the country in a bid to ease tensions with the United States, a senior official said Thursday."
20329,3,Economy steady but job growth moderate,"Job creation improved in August, but employment is below 50-year average, giving fodder to Kerry and Bush. By Ron Scherer  Staff writer of The Christian Science Monitor.","NEW YORK (Reuters) - The U.S. economy remained steady on Tuesday, but job growth was moderate, according to a report released by the Labor Department."
25124,4,Land of Potatoes Aims to Be High-Tech Hotbed (Reuters),Reuters - Jeffrey Moeser and his company are\aiming to change the future of home entertainment.,"Reuters - Land of Potatoes, the world's largest producer of potatoes, isaiming to become a high-tech hotbed for high-techtechnology."
21234,2,NBA: Hoop dreams,"The NBA and Yuta Tabuse are no strangers-but they just got a bit cozier. After attending training camp and playing in three preseason games for the Denver Nuggets last season, the ","ATHENS (Reuters) - The Houston Rockets have won their first NBA title in four years, but they haven't been able to beat the New York Knicks."
94669,4,BT must open up network to rivals,"Telecoms regulator Ofcom says BT must provide rivals with ""real equality of access"" to its phone lines network, or else face action.","BT has to open up its network to rivals in order to compete with rivals, the company said yesterday."
43365,4,New Hughes Research Center to Shift Focus,The medical institute built from Howard Hughes's fortune is spending \$500 million to build a research center in Virginia that will seek to encourage top scientists to do hands-on creative work.,"The new Hughes Research Center will focus on a variety of topics, including cancer research and the treatment of heart disease."
72860,3,Halliburton Posts Loss on Asbestos Charge," HOUSTON (Reuters) - Halliburton Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=HAL.N target=/stocks/quickinfo/fullquote""&gt;HAL.N&lt;/A&gt; , the world's  No. 2 oil field services company, on Tuesday posted a  third-quarter net loss as it took \$230 million in charges to  fund its asbestos liability.","Halliburton Co., the world #39;s largest maker of home appliances, on Monday posted a loss of $1 billion in profit on a charge of asbestos."
108637,4,Universal on Board with Napster Founder #39;s New Venture,"Shawn Fanning #39;s latest peer-to-peer (P2P) venture, Snocap, may have a long way to go to prove its success in the current online music landscape.","Universal Communications Inc., the world #39;s largest digital music company, said it is on board with Napster Inc., a venture capital firm founded by the founder of the music industry #39;s largest music company, for $1 billion in cash and stock."
